Admission No,Initial Cluster,Final Cluster,Transitions,Accuracy,Not Completed
20001,Passive,Passive,4,0.9,0
20002,Active,Passive,3,0.775,1
20006,Moderate,Passive,1,0.4,2
20008,Moderate,Passive,1,0.9,1
20009,Passive,Passive,4,0.775,2
20010,Moderate,Active,1,0.9,2
20011,Moderate,Passive,1,0.175,0
20012,Passive,Passive,2,0.825,1
20016,Passive,Moderate,5,0.85,1
20017,Moderate,Passive,3,0.2,0
20019,Moderate,Passive,3,0.875,0
20020,Moderate,Passive,1,0.5,0
20021,Passive,Passive,6,0.8,0
20029,Passive,Moderate,7,0.4,0
20035,Moderate,Passive,3,0.8,1
20036,Passive,Moderate,7,0.95,0
20039,Moderate,Moderate,4,0.9,0
20040,Passive,Active,2,0.8,0
20041,Passive,Moderate,6,0.8,0
20042,Moderate,Passive,1,0.6,2
20043,Passive,Moderate,7,0.95,2
20045,Passive,Passive,2,0.925,0
20046,Passive,Passive,12,0.925,0
20048,Moderate,Passive,1,0.8,0
20054,Moderate,Passive,1,0.525,0
20058,Moderate,Passive,3,0.75,0
20060,Passive,Passive,4,0.8,1
20066,Active,Passive,3,0.625,0
20067,Moderate,Passive,3,0.75,0
20068,Moderate,Passive,3,0.45,2
20069,Passive,Passive,9,0.6,1
20070,Passive,Passive,2,0.9,0
20077,Moderate,Moderate,10,0.475,0
20078,Moderate,Passive,1,0.55,2
20080,Moderate,Passive,1,0.375,1
20085,Passive,Moderate,11,0.525,1
20086,Moderate,Passive,1,1.0,0
20087,Passive,Passive,6,0.9,1
20089,Passive,Moderate,3,0.675,0
20091,Moderate,Moderate,6,0.7,0
20093,Active,Passive,5,0.8,0
20094,Moderate,Passive,5,0.675,2
20099,Moderate,Passive,3,0.475,0
20101,Active,Passive,6,0.725,1
20102,Passive,Moderate,7,0.9,1
20103,Moderate,Passive,1,0.3,1
20104,Moderate,Moderate,6,0.6,2
20107,Passive,Passive,2,0.41025641025641024,2
20111,Passive,Moderate,5,0.5,2
20115,Passive,Active,4,0.9,0
20117,Passive,Passive,4,0.95,1
20118,Moderate,Passive,5,0.6,2
20122,Passive,Moderate,7,0.875,0
20123,Passive,Passive,3,0.375,0
20128,Moderate,Passive,1,0.7,0
20129,Moderate,Passive,3,0.3,0
20132,Passive,Moderate,3,0.8,1
20133,Passive,Passive,4,0.9,1
20137,Moderate,Passive,1,0.325,0
20141,Passive,Passive,6,0.575,0
20142,Passive,Moderate,5,0.825,0
20144,Moderate,Passive,1,0.55,1
20145,Passive,Passive,6,0.825,0
20147,Passive,Passive,6,0.825,0
20151,Moderate,Passive,1,0.85,1
20152,Moderate,Passive,3,0.975,1
20154,Moderate,Passive,3,0.525,0
20155,Passive,Passive,2,0.7,2
20161,Moderate,Moderate,6,0.7948717948717948,0
20163,Passive,Active,5,1.0,0
20167,Passive,Passive,4,0.65,0
20168,Moderate,Passive,3,0.7,1
20171,Passive,Moderate,9,0.475,1
20172,Passive,Passive,7,0.85,1
20175,Passive,Passive,2,0.275,0
20176,Passive,Active,1,0.375,0
20177,Passive,Passive,2,0.75,1
20179,Passive,Moderate,5,0.875,1
20181,Passive,Passive,6,0.6,0
20183,Passive,Moderate,4,0.6,1
20184,Active,Passive,1,0.625,0
20186,Passive,Passive,4,0.8,1
20188,Moderate,Passive,1,0.85,2
20191,Passive,Passive,4,0.775,1
20192,Passive,Passive,4,0.65,2
20196,Passive,Passive,2,1.0,2
20198,Passive,Passive,10,0.475,1
20199,Moderate,Passive,1,0.55,0
20200,Passive,Passive,4,0.975,0
20202,Moderate,Moderate,4,0.8205128205128205,0
20204,Passive,Passive,2,0.8,0
20206,Passive,Moderate,3,0.75,2
20207,Moderate,Passive,1,0.65,1
20213,Passive,Passive,4,0.25,2
20216,Active,Passive,1,0.775,0
20217,Passive,Moderate,9,0.65,0
20218,Moderate,Passive,3,0.675,1
20219,Passive,Passive,2,0.85,1
20220,Passive,Moderate,4,0.925,1
20224,Moderate,Passive,1,0.5882352941176471,0
20225,Passive,Moderate,8,0.45,1
20226,Passive,Passive,8,0.5,0
20229,Passive,Passive,4,0.925,0
20235,Passive,Passive,4,0.95,1
20237,Moderate,Passive,5,0.575,0
20241,Moderate,Passive,1,0.325,0
20243,Active,Passive,3,0.75,1
20244,Passive,Passive,2,0.8,0
